dim1,dim2,Cluster,clustered,topic_labels,topic_words,Language,topic_nr,top_word,trans,top_words_trans
1.4170384,14.183742,0,True,da_4,"['være', 'sa', 'det', 'at', 'der', 'ikke', 'narre', 'en', 'vi', 'ogsa', 'som', 'du', 'vre', 'kunne', 'mene', 'godte', 'nok', 'for', 'jeg', 'gr']",da,4,mene,mean,mene(mean)
-1.2709202,14.078178,0,True,da_5,"['flygtning', 'verden', 'arre', 'for', 'brn', 'og', 'dag', 'sttte', 'dkaid', 'tak', 'gar', 'flygtningebrn', 'ls', 'siden', 'vigtig', 'behov', 'bla', 'brug', 'covid19', 'sidste']",da,5,flygtning,refugee,flygtning(refugee)
-1.3600888,13.622026,0,True,da_6,"['pa', 'flygtning', 'unhcr', 'og', 'dag', 'arbejde', 'flygtningeorganisation', 'sikre', 'unge', 'rapport', 'lejr', 'ls', 'global', 'withrefugees', 'unhcrs', 'fmdk', 'beskyttelse', 'vej', 'klare', 'beskytte']",da,6,withrefugees,withrefugees,withrefugees(withrefugees)
4.509397,9.078363,1,True,da_7,"['fns', 'dkpol', 'dansk', 'regering', 'fn', 'danmark', 'migrationspagt', 'kritik', 'nyhed', 'flygtningekonvention', 'flygtningehjkommissr', 'thorning', 'kritisere', 'dkmedier', 'gang', 'flygtningehjlp', 'usa', 'international', 'nytte', 'flygtningestrmmen']",da,7,flygtningestrmmen,refugee flow,flygtningestrmmen(refugee flow)
-0.10432451,12.124246,0,True,da_8,"['migration', 'lkke', 'fnmigrationspagten', 'underskrive', 'aftale', 'global', 'pagt', 'df', 'compact', 'skrive', 'migrationspagt', 'om', 'debat', 'binde', 'dkmedier', 'politisk', 'befolkning', 'uden', 'marrakesh', 'avis']",da,8,migrationspagt,migration pact,migrationspagt(migration pact)
1.2868019,11.698836,0,True,da_9,"['til', 'danmark', 'at', 'asyl', 'vre', 'land', 'stoppe', 'give', 'den', 'fa', 'penge', 'afvise', 'ville', 'hav', 'betale', 'imod', 'ma', 'via', 'bruge', 'dk']",da,9,betale,pay,betale(pay)
-0.21332462,14.023515,0,True,de_0,"['und', 'migrant', 'geben', 'migrationspakt', 'zu', 'werden', 'landen', 'lassen', 'wir', 'mussen', 'lander', 'von', 'nehmen', 'dafur', 'sicher', 'auf', 'illegal', 'bringen', 'grenzen', 'bekommen']",de,0,bekommen,get,bekommen(get)
8.2029505,6.3062906,2,True,de_1,"['der', 'migrationspakt', 'werden', 'media', 'ein', 'deutsch', 'thema', 'volk', 'schweiz', 'fragen', 'stehen', 'finden', 'pakt', 'zielen', 'ware', 'migrationspaktes', 'berichten', 'leider', 'unomigrationspakt', 'geben']",de,1,migrationspaktes,migration pact,migrationspaktes(migration pact)
1.5456512,12.710571,0,True,de_2,"['un', 'migration', 'global', 'europa', 'uno', 'pakt', 'eu', 'international', 'replacement', 'asyl', 'in', 'menschenrecht', 'planen', 'compact', 'geben', 'staat', 'sicher', 'kritik', 'legal', 'illegal']",de,2,replacement,replacement,replacement(replacement)
7.353274,7.6419945,2,True,de_3,"['der', 'migrationspakt', 'deutschland', 'merkel', 'fur', 'neu', 'europa', 'sehen', 'glauben', 'frau', 'politik', 'schaffen', 'drucken', 'soros', 'zeit', 'stellen', 'berlin', 'afrikaner', 'mit', 'kanzlerin']",de,3,deutschland,Germany,deutschland(Germany)
-0.9175752,15.020502,0,True,de_4,"['unhcr', 'mensch', 'fluchen', 'millionen', 'in', 'fluchtlinge', 'uber', 'weltweit', 'mio', 'zahlen', 'fluchtlingen', 'libyen', 'unofluchtlingshilfe', 'neu', 'kind', 'via', 'helfen', 'syrien', 'leben', 'kriegen']",de,4,fluchtlingen,refugees,fluchtlingen(refugees)
0.51969737,14.554476,0,True,de_5,"['fluchtlingspakt', 'turkei', 'eu', 'via', 'erdogan', 'uber', 'drohen', 'griechenland', 'usa', 'news', 'fluchtlingslager', 'stimmen', 'fluchtlingskrise', 'seehofer', 'fluchtlingspakts', 'fordern', 'umsetzung', 'fluchten', 'mit', 'zeit']",de,5,fluchtlingspakt,refugee pact,fluchtlingspakt(refugee pact)
1.9208744,11.701625,0,True,de_6,"['fluchtlinge', 'fur', 'un', 'unhcr', 'jahr', 'uno', 'deutschland', 'mittelmeer', 'laut', 'migrant', 'fordern', 'geld', 'vereinen', 'nationen', 'millionen', 'aufnehmen', 'hilfe', 'fluchtlingen', 'syrien', 'syrisch']",de,6,deutschland,Germany,deutschland(Germany)
8.411712,6.8698215,2,True,de_7,"['der', 'fur', 'uno', 'eu', 'sein', 'in', 'welt', 'deutschland', 'deutsch', 'von', 'uber', 'burger', 'bevolkerung', 'regierung', 'staat', 'aus', 'landern', 'gesetz', 'arm', 'interesse']",de,7,interesse,interest,interesse(interest)
-0.8553871,13.208511,0,True,de_8,"['migrationspakt', 'unmigrationspakt', 'osterreich', 'afd', 'uber', 'via', 'bitten', 'migrationspaktstoppen', 'unterschreiben', 'stoppen', 'petition', 'regierung', 'cdu', 'unterzeichnet', 'zuruck', 'ziehen', 'video', 'bundestag', 'unomigrationspakt', 'unterzeichnen']",de,8,unomigrationspakt,migration pact,unomigrationspakt(migration pact)
7.22342,6.0190234,2,True,de_9,"['der', 'sein', 'ein', 'sie', 'nicht', 'und', 'haben', 'ich', 'es', 'konnen', 'sagen', 'einfach', 'asyl', 'klar', 'jahr', 'lesen', 'fragen', 'sehen', 'werden', 'naturlich']",de,9,einfach,easy,einfach(easy)
4.9058633,8.360908,1,True,es_0,"['de', 'refugiado', 'acnur', 'venezolano', 'asilo', 'en', 'venezuela', 'migrante', 'persona', 'mundo', 'colombia', 'huir', 'crisis', 'apoyo', 'proteccion', 'humanitario', 'solicitante', 'violencia', 'ano', 'desplazar']",es,0,proteccion,protection,proteccion(protection)
8.3467045,6.970995,2,True,es_1,"['el', 'de', 'unir', 'nación', 'refugiado', 'para', 'agencia', 'en', 'del', 'organizacion', 'gobierno', 'traves', 'celebrar', 'oficina', 'consejo', 'poblacion', 'anuncio', 'objetivo', 'ciudad', 'organizar']",es,1,organizar,organize,organizar(organize)
-0.82722056,12.420003,0,True,es_2,"['migracion', 'pacto', 'mundial', 'firmar', 'global', 'segurar', 'migratorio', 'presidente', 'ordenada', 'trump', 'regular', 'cumbre', 'firma', 'asamblea', 'republicar', 'video', 'desarrollo', 'mexicano', 'canciller', 'politicas']",es,2,politicas,policies,politicas(policies)
-2.1245718,14.168023,0,True,es_3,"['inmigrante', 'inmigracion', 'chile', 'querer', 'ilegal', 'politica', 'ley', 'chileno', 'bachelet', 'politicos', 'pinera', 'haitiano', 'negar', 'puesto', 'pobreza', 'descontrolar', 'negocio', 'extranjero', 'patria', 'traer']",es,3,inmigracion,immigration,inmigracion(immigration)
-0.101212874,14.569569,0,True,es_4,"['onu', 'derecho', 'mexico', 'internacional', 'migrante', 'espana', 'humano', 'persona', 'paises', 'plan', 'ddhh', 'europeo', 'mujer', 'vida', 'proteger', 'cambio', 'hablar', 'nacional', 'pedir', 'solidaridad']",es,4,solidaridad,solidarity,solidaridad(solidarity)
0.19244882,14.649956,0,True,es_5,"['onu', 'millón', 'mil', 'palestino', 'ayuda', 'crisis', 'llegar', 'europa', 'eeuu', 'ano', 'frontera', 'guerra', 'apoyar', 'ayudar', 'fondo', 'programa', 'secretario', 'masivo', 'oim', 'dolar']",es,5,palestino,palestinian,palestino(palestinian)
6.908176,5.83115,2,True,es_6,"['el', 'onu', 'refugiado', 'pedir', 'via', 'paises', 'noticia', 'inmigrante', 'de', 'ue', 'mundo', 'acoger', 'recibir', 'europa', 'criticar', 'sirio', 'rechazar', 'instar', 'exigir', 'recordar']",es,6,refugiado,refugee,refugiado(refugee)
1.9716171,12.43127,0,True,es_7,"['refugiado', 'acnur', 'sirio', 'millón', 'campo', 'ninos', 'cifra', 'alerta', 'mediterraneo', 'grecia', 'informe', 'denuncia', 'situacion', 'numerar', 'advertir', 'desplazar', 'escuela', 'centro', 'libano', 'condicionar']",es,7,condicionar,conditions,condicionar(conditions)
-2.0402203,14.244123,0,True,es_8,"['comisionado', 'alto', 'representante', 'especial', 'comunidad', 'america', 'latinar', 'filippo', 'embajador', 'participar', 'jolie', 'alta', 'enviado', 'visita', 'angelino', 'regional', 'visitar', 'grandi', 'stein', 'junio']",es,8,comisionado,commissioner,comisionado(commissioner)
7.830284,7.425518,2,True,es_9,"['el', 'de', 'que', 'él', 'no', 'ser', 'uno', 'en', 'gobierno', 'por', 'con', 'su', 'estar', 'problema', 'haber', 'seguir', 'gente', 'mas', 'dejar', 'para']",es,9,seguir,follow,seguir(follow)
0.29874077,12.835548,0,True,hu_0,"['migracios', 'csomag', 'szijjarto', 'magyarorszag', 'peter', 'migracio', 'kilep', 'kormany', 'folyamata', 'fogad', 'elarulasa', 'pontos', 'kilepeset', 'mond', 'europa', 'brazilia', 'globalis', 'javaslat', 'kulgazdasagi', 'embere']",hu,0,kilepeset,wedge nest,kilepeset(wedge nest)
-0.5144386,13.763604,0,True,hu_1,"['migracios', 'csomag', '888hu', 'globalis', 'paktum', 'vesz', 'mar', 'bevandorlas', 'dokumentum', 'rossz', 'enszben', 'reszt', 'paktumat', 'rend', 'ala', 'jelen', 'paktuma', 'leheto', 'veszelyt', 'folyamat']",hu,1,dokumentum,document,dokumentum(document)
7.7711477,6.629072,2,True,hu_2,"['az', 'europai', 'es', 'tesz', 'unios', 'orszagok', 'bizottsag', 'jogi', 'migraciot', 'akar', 'unio', 'kotelezo', 'kozpont', 'hogy', 'kotelezove', 'tagallamai', 'elmult', 'nem', 'paktuma', 'titok']",hu,2,migraciot,migraciot,migraciot(migraciot)
1.7827946,11.417073,0,True,hu_3,"['magyar', 'orban', 'akar', 'nemzet', 'jog', 'emberi', 'politika', 'viktor', 'mar', 'migransnak', 'migrans', 'migracio', 'migransok', 'harc', 'szir', 'tobb', 'tud', 'enszben', 'elismer', 'van']",hu,3,migransok,migransok,migransok(migransok)
1.9090413,11.383427,0,True,hu_4,"['menekult', 'menekulteke', 'tobb', 'millio', 'europaba', 'migrans', 'palesztin', 'iden', 'orszag', 'kozolte', 'az', 'migranst', 'afrikai', 'ujabb', 'foldkozitenger', 'europa', 'ota', 'jelen', 'ket', 'mintegy']",hu,4,menekulteke,refugees,menekulteke(refugees)
-1.1056309,14.829638,0,True,hu_5,"['migracios', 'csomagja', 'globalis', 'elfogad', 'kormany', 'neme', 'csatlakoz', 'parlament', 'tervezet', 'tamogatja', 'megallapodasat', 'merkel', 'cdu', 'ausztria', 'elutasitja', 'szavaz', 'part', 'kancellar', 'szlovakia', 'angela']",hu,5,elutasitja,reject,elutasitja(reject)
8.194597,6.0078516,2,True,hu_6,"['az', 'menekultugyi', 'es', 'unhcr', 'szervezet', 'magyarorszag', 'egyesult', 'nemzet', 'fobiztosanak', 'kormanyt', 'allamok', 'szovivoje', 'magyar', 'hivatala', 'felszolitotta', 'tart', 'usa', 'tovabb', 'friss', 'von']",hu,6,fobiztosanak,fobiztosan,fobiztosanak(fobiztosan)
3.8593795,9.019653,1,True,hu_7,"['menekultek', 'menekultugyi', 'fobiztossaga', 'unhcr', 'enszfotitkar', 'sziriai', 'fobiztosa', 'uj', 'menekult', 'adat', 'nyit', 'fotitkara', 'haza', 'befogad', 'tart', 'elott', 'guterres', 'szolitotta', 'magyarorszagi', 'antonio']",hu,7,enszfotitkar,enszfotitkar,enszfotitkar(enszfotitkar)
2.078866,13.305298,0,True,hu_8,"['es', 'migracio', 'migransok', 'soros', 'brusszel', 'illegalis', 'eu', 'altal', 'gyorgy', 'kulfold', 'migraciot', 'fordul', 'bevandorlas', 'hirek', 'bankkartyak', 'nelkuli', 'az', 'erkezo', 'hirtv', 'bevandorlok']",hu,8,migraciot,migrac,migraciot(migrac)
1.7199582,11.637797,0,True,hu_9,"['miniszter', 'fog', 'kulugyminiszter', 'mond', 'migracios', 'jelent', 'szolo', 'migraciorol', 'peter', 'new', 'migracio', 'fidesz', 'ad', 'lemond', 'javasol', 'kulgazdasagi', 'cimu', 'm1', 'menekultekrol', 'kocka']",hu,9,menekultekrol,refugees,menekultekrol(refugees)
-1.8033164,14.471659,0,True,it_0,"['libia', 'migrare', 'libico', 'portare', 'sicuro', 'in', 'centro', 'detenzione', 'tunisia', 'ong', 'salvare', 'riportare', 'guardia', 'trafficante', 'lager', 'costiero', 'nave', 'tortura', 'sbarcare', 'oim']",it,0,detenzione,detention,detenzione(detention)
1.0031081,11.92711,0,True,it_1,"['nazione', 'unire', 'commissariare', 'migrazione', 'patto', 'global', 'firmare', 'lalto', 'compact', 'globale', 'della', 'alto', 'dellonu', 'dellalto', 'filippo', 'firma', 'petizione', 'uscire', 'conta', 'approvare']",it,1,migrazione,migration,migrazione(migration)
7.967664,7.038628,2,True,it_2,"['il', 'stare', 'leuropa', 'bloccare', 'con', 'confine', 'aprire', 'flusso', 'condividere', 'arrivare', 'potere', 'aspettare', 'frontiera', 'nazionale', 'video', 'mettere', 'fermare', 'immigrato', 'articolo', 'notizia']",it,2,immigrato,immigrant,immigrato(immigrant)
-1.826165,14.398284,0,True,it_3,"['migrare', 'salvini', 'mandare', 'razzismo', 'violenza', 'allonu', 'personale', 'donna', 'incontrare', 'vertice', 'inviare', 'ispettore', 'ban', 'new', 'sole', 'renzi', 'difendere', 'razzista', 'atto', 'subire']",it,3,difendere,defend,difendere(defend)
-1.2602189,14.789368,0,True,it_4,"['migrare', 'unhcr', 'morte', 'mediterraneo', 'mare', 'naufragio', 'libia', 'nel', 'via', 'disperso', 'sbarco', 'largo', 'lunhcr', 'vittima', 'tragedia', 'morire', 'almeno', 'arrivo', 'strage', 'iniziare']",it,4,naufragio,shipwreck,naufragio(shipwreck)
-0.7406198,12.012805,0,True,it_5,"['profugo', 'onu', 'campo', 'siriano', 'siria', 'campare', 'africo', 'lonu', 'guerra', 'libare', 'fondo', 'trump', 'palestinese', 'volere', 'uso', 'gestire', 'aiutare', 'tornare', 'turchia', 'raccolto']",it,5,raccolto,harvest,raccolto(harvest)
-1.9212886,14.138531,0,True,it_6,"['migrare', 'diritto', 'lonu', 'umano', 'del', 'internazionale', 'litalia', 'legge', 'salvini', 'rispettare', 'convenzione', 'italiana', 'violazione', 'sicurezza', 'decretare', 'viola', 'questione', 'tema', 'status', 'dirittiumani']",it,6,dirittiumani,human rights,dirittiumani(human rights)
8.033962,6.9024773,2,True,it_7,"['il', 'italiano', 'governo', 'del', 'volere', 'europeo', 'ministro', 'politica', 'popolare', 'estero', 'al', 'responsabilita', 'tutto', 'dellonu', 'cittadino', 'proteggere', 'accogliere', 'commissione', 'paese', 'povero']",it,7,commissione,commission,commissione(commission)
-1.7619519,13.911448,0,True,it_8,"['migrare', 'lonu', 'onu', 'via', 'italia', 'ue', 'israele', 'accordare', 'africano', 'libia', 'francia', 'germania', 'laccordo', 'netanyahu', 'prevedere', 'collaborazione', 'minniti', 'accusa', 'smentire', 'uso']",it,8,prevedere,predict,prevedere(predict)
-1.1512476,14.864081,0,True,it_9,"['italia', 'in', 'migrare', 'unhcr', 'europa', 'arrivare', 'accogliere', 'grecia', 'via', 'sbarcare', 'arrivato', 'malta', 'retweeted', 'trovare', 'spagna', 'immigrato', 'leuropa', 'lavorare', 'domanda', 'lunhcr']",it,9,immigrato,immigrant,immigrato(immigrant)
8.111443,6.249268,2,True,it_10,"['il', 'per', 'rifugiato', 'onu', 'lagenzia', 'agenzia', 'sostenere', 'nazioniunite', 'parola', 'raccontare', 'aiutare', 'lavoro', 'spiegare', 'della', 'dare', 'dellagenzia', 'migratorio', 'storia', 'riconoscere', 'uno']",it,10,riconoscere,recognize,riconoscere(recognize)
7.532296,7.3797965,2,True,it_11,"['che', 'il', 'non', 'essere', 'avere', 'sapere', 'volere', 'ce', 'vedere', 'potere', 'capire', 'venire', 'stare', 'lonu', 'nullo', 'dettare', 'si', 'fare', 'credere', 'uno']",it,11,venire,come,venire(come)
0.46608555,12.306552,0,True,it_12,"['dovere', 'lonu', 'andare', 'litalia', 'problema', 'casa', 'intervenire', 'venire', 'potere', 'stare', 'pensare', 'prendere', 'soldo', 'fare', 'euro', 'lasciare', 'bisognare', 'vero', 'nn', 'risolvere']",it,12,risolvere,solve,risolvere(solve)
0.80441004,12.405559,0,True,it_13,"['immigrato', 'soros', 'ong', 'limmigrazione', 'clandestino', 'carta', 'uno', 'boldrini', 'vero', 'da', 'finanziare', 'sinistra', 'litalia', 'immigrazione', 'ce', 'clandestina', 'falso', 'credito', 'soldo', 'organizzazione']",it,13,limmigrazione,limmigration,limmigrazione(limmigration)
1.8248501,14.170114,0,True,it_14,"['rifugiato', 'lunhcr', 'chiedere', 'dellunhcr', 'aiutare', 'accoglienza', 'appellare', 'emergenza', 'protezione', 'portavoce', 'sostegno', 'assistenza', 'solidarieta', 'stampa', 'rischiare', 'fornire', 'comunita', 'bisognare', 'umanitario', 'situazione']",it,14,situazione,situation,situazione(situation)
-0.92374176,11.904116,0,True,it_15,"['onu', 'immigrazione', 'ue', 'migrazione', 'piano', 'servire', 'europeo', 'governo', 'crisi', 'immigrato', 'soluzione', 'volere', 'europa', 'italia', 'papa', 'politica', 'salvini', 'dallonu', 'rispondere', 'climatico']",it,15,rispondere,answer,rispondere(answer)
4.3210764,9.150495,1,True,it_16,"['di', 'il', 'uno', 'parlare', 'cercare', 'avere', 'migliaio', 'trattare', 'piu', 'leggere', 'potere', 'essere', 'lavoro', 'del', 'dare', 'continuo', 'massa', 'centinaio', 'continuare', 'contare']",it,16,centinaio,hundred,centinaio(hundred)
1.5625027,14.227552,0,True,it_17,"['rifugiato', 'unhcr', 'rifugiare', 'mondiale', 'giornata', 'bambino', 'withrefugees', 'campagna', 'scuola', 'grazia', 'del', 'giugno', 'progettare', 'roma', 'premiare', 'presentare', 'uno', 'donare', 'celebrare', 'agenzia']",it,17,presentare,submit,presentare(submit)
1.7638371,14.043224,0,True,it_18,"['rifugiato', 'unhcr', 'asilo', 'umanitario', 'persona', 'guerra', 'richiedente', 'centrare', 'fuggire', 'lunhcr', 'corridoio', 'sud', 'causa', 'tripolare', 'costringere', 'ospitare', 'scappare', 'sudare', 'da', 'eritreo']",it,18,umanitario,humanitarian,umanitario(humanitarian)
1.5933444,14.201202,0,True,it_19,"['unhcr', 'rifugiato', 'milione', 'persona', 'rapportare', 'fuga', 'numero', 'dato', 'sami', 'news', 'via', 'fonte', 'sfollato', 'popolazione', 'aumentare', 'emergenza', 'siria', 'record', 'siriano', 'meta']",it,19,rapportare,report,rapportare(report)
1.3583796,13.797326,0,True,pl_0,"['si', 'imigrant', 'juz', 'teza', 'trump', 'usa', 'sa', 'wegry', 'wochy', 'nz', 'chca', 'maja', 'chwila', 'ostatni', 'ktorzy', 'imigracja', 'woch', 'ukraina', 'medium', 'niz']",pl,0,imigrant,immigrant,imigrant(immigrant)
-0.9066138,12.36467,0,True,pl_1,"['prawo', 'ds', 'migrant', 'miedzynarodowy', 'uchodzcow', 'komisarz', 'czowieka', 'wysoki', 'zjednoczyć', 'organizacja', 'do', 'apelować', 'biuro', 'rada', 'prawa', 'iom', 'agencja', 'narodow', 'dzien', 'podstawowy']",pl,1,organizacja,organization,organizacja(organization)
6.586102,7.855103,1,True,pl_2,"['pakt', 'migracyjny', 'niemiec', 'merkel', 'sprawa', 'migracja', 'minister', 'angela', 'kanclerz', 'imigracyjny', 'zagraniczny', 'nacjonalizm', 'cdu', 'bundestag', 'przeciwnik', 'krytykować', 'baszczak', 'srode', 'ws', 'nalezy']",pl,2,krytykować,criticize,krytykować(criticize)
0.35630158,12.298019,0,True,pl_3,"['rok', 'osoba', 'azyl', 'mln', 'uchodzcy', 'wedug', 'raport', 'swiecie', 'dzis', 'liczba', 'byo', 'kryzys', 'wnioskow', 'wg', 'humanitarny', 'wynikać', 'pomoc', 'klimatyczny', 'człowiek', 'wojna']",pl,3,człowiek,human,człowiek(human)
-0.52869123,14.094941,0,True,pl_4,"['unhcr', 'imigrant', 'uchodzcow', 'granica', 'grecja', 'migrant', 'ue', 'kryzys', 'uchodzcami', 'syria', 'migrantcrisis', 'uchodzcy', 'przyjmować', 'na', 'jestesmy', 'libia', 'humanitarny', 'ktorzy', 'grozić', 'apel']",pl,4,humanitarny,humanitarian,humanitarny(humanitarian)
-0.75750846,14.582875,0,True,pl_5,"['europ', 'migrant', 'imigrant', 'unhcr', 'rok', 'morze', 'tys', 'srodziemny', 'przybyo', 'milion', 'raport', 'uchodzcow', 'mezczyzni', 'dotaro', 'poczatku', 'utoneo', 'tysiecy', 'libia', 'droga', 'styczeń']",pl,5,mezczyzni,men,mezczyzni(men)
2.031059,12.877257,0,True,pl_6,"['ue', 'si', 'sa', 'na', 'imigracja', 'byc', 'informacja', 'maja', 'moga', 'musić', 'finansować', 'chca', 'pieniaga', 'strona', 'ktorych', 'uchodzcami', 'nielegalna', 'wspopraca', 'karty', 'ktorzy']",pl,6,wspopraca,cooperation,wspopraca(cooperation)
-0.8243491,12.877683,0,True,pl_7,"['migrant', 'uchodzcow', 'uchodzcach', 'szczyt', 'prezydent', 'nowy', 'ekonomiczny', 'duda', 'przyjmować', 'powiedzieć', 'imigrant', 'andrzej', 'wojenny', 'sesja', 'jork', 'sytuacja', 'libia', 'forum', 'wiadomosci', 'dzień']",pl,7,wiadomosci,news,wiadomosci(news)
7.980917,5.987229,2,True,pl_8,"['migracja', 'pakt', 'migration', 'un', 'the', 'pact', 'anda', 'of', 'willa', 'nota', 'is', 'podpisać', 'minister', 'europe', 'in', 'eu', 'sign', 'to', 'migracyjny', 'migrants']",pl,8,migration,migration,migration(migration)
4.6688704,8.961768,1,True,pl_9,"['migracyjny', 'si', 'przeciwić', 'pakt', 'rzad', 'odrzucać', 'imigracja', 'paktowy', 'imigracyjny', 'globalny', 'pakiet', 'poprzeć', 'kolejny', 'porozumienie', 'sowacja', 'wycofać', 'migracja', 'polski', 'nielegalnej', 'wieszwiecej']",pl,9,wieszwiecej,know more,wieszwiecej(know more)
0.80650294,14.367191,0,True,pl_10,"['imigrant', 'europ', 'do', 'si', 'afryka', 'niemiec', 'człowiek', 'europa', 'pomoc', 'milionow', 'wielki', 'migrant', 'fala', 'chcieć', 'bliski', 'sprowadzić', 'ostrzegać', 'francja', 'miejsce', 'organizować']",pl,10,sprowadzić,bring,sprowadzić(bring)
6.82916,5.928708,2,True,pl_11,"['migracja', 'globalny', 'beda', 'si', 'rzecz', 'panstwa', 'na', 'masowy', 'bezpieczny', 'ktore', 'czas', 'dokument', 'porozumieć', 'legalny', 'pierwszy', 'ochrona', 'konferencja', 'dotyczac', 'forum', 'pakt']",pl,11,porozumieć,communicate,porozumieć(communicate)
3.6852129,9.23438,1,True,pl_12,"['migracyjny', 'europejski', 'kryzys', 'szef', 'polityka', 'unia', 'sekretarz', 'cel', 'generalny', 'narodowy', 'nowy', 'msz', 'peter', 'imigracyjny', 'imigracja', 'dyplomacja', 'oswiadczy', 'wegierski', 'szijjarto', 'ue']",pl,12,dyplomacja,diplomacy,dyplomacja(diplomacy)
